año,genero,cantidad
1930-01-01,Comedy,316
1930-01-01,Crime,68
1930-01-01,Documentary,90
1930-01-01,Drama,275
1930-01-01,Family,78
1930-01-01,Fantasy,30
1930-01-01,Game-Show,4
1930-01-01,History,17
1930-01-01,Horror,23
1930-01-01,Music,64
1930-01-01,Musical,121
1930-01-01,Mystery,36
1930-01-01,News,5
1930-01-01,Reality-TV,2
1930-01-01,Romance,177
1930-01-01,Sci-Fi,11
1930-01-01,Short,338
1930-01-01,Sport,16
1930-01-01,Talk-Show,3
1930-01-01,Thriller,44
1930-01-01,War,26
1930-01-01,Western,50
1931-01-01,Action,57
1931-01-01,Adult,37
1931-01-01,Adventure,54
1931-01-01,Animation,128
1931-01-01,Biography,15
1931-01-01,Comedy,337
1931-01-01,Crime,99
1931-01-01,Documentary,85
1931-01-01,Drama,318
1931-01-01,Family,94
1931-01-01,Fantasy,33
1931-01-01,Game-Show,2
1931-01-01,History,12
1931-01-01,Horror,38
1931-01-01,Music,34
1931-01-01,Musical,69
1931-01-01,Mystery,54
1931-01-01,News,4
1931-01-01,Reality-TV,4
1931-01-01,Romance,178
1931-01-01,Sci-Fi,19
1931-01-01,Short,340
1931-01-01,Sport,22
1931-01-01,Talk-Show,3
1931-01-01,Thriller,61
1931-01-01,War,26
1931-01-01,Western,62
